epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,204.679,0.84948,0.64513,1.05751,0.99004,0.95833,0.9559,0.73169,0.88501,0.85953,1.15636,0.00107288,0.00107288,0.00107288
74,207.441,0.85311,0.66682,1.06663,0.99267,0.95833,0.955,0.74761,0.86993,0.75012,1.11196,0.00106463,0.00106463,0.00106463
75,209.993,0.79008,0.61291,1.03608,0.99393,0.95833,0.95636,0.73876,0.78363,0.71291,1.02318,0.00105638,0.00105638,0.00105638
76,213.15,0.86482,0.6202,1.05662,0.99388,0.95833,0.95703,0.72514,0.78355,0.61645,1.02138,0.00104813,0.00104813,0.00104813
77,215.714,0.90139,0.60967,1.03113,0.99583,0.95833,0.99192,0.73671,0.83404,0.60693,1.06098,0.00103987,0.00103987,0.00103987
78,218.428,0.83185,0.64375,1.04693,0.99549,0.95833,0.99192,0.73952,0.93234,0.63703,1.10468,0.00103162,0.00103162,0.00103162
79,220.95,0.96865,0.67153,1.1069,0.99452,0.95833,0.99192,0.74961,0.9625,0.65233,1.10357,0.00102337,0.00102337,0.00102337
80,223.636,0.87661,0.64448,1.06455,0.99246,0.95833,0.987,0.7597,0.91975,0.65117,1.05491,0.00101512,0.00101512,0.00101512
81,226.199,0.90678,0.62599,1.05888,0.99008,0.95833,0.97587,0.75124,0.7888,0.68877,1.00906,0.00100687,0.00100687,0.00100687
82,228.842,0.83443,0.62322,1.04164,0.99059,0.95833,0.9742,0.74363,0.79213,0.65032,1.01659,0.000998616,0.000998616,0.000998616
83,231.507,0.80742,0.5784,1.05431,0.9895,0.95833,0.987,0.74382,0.80551,0.61503,1.02358,0.000990365,0.000990365,0.000990365
84,234.354,0.84032,0.59334,1.03713,0.98994,0.95833,0.99192,0.73788,0.80564,0.63281,1.01437,0.000982113,0.000982113,0.000982113
85,236.838,0.86952,0.58875,1.04158,0.9925,0.95833,0.98929,0.76134,0.86151,0.59278,1.03232,0.000973861,0.000973861,0.000973861
86,239.613,0.80727,0.60134,1.03195,0.99334,0.95833,0.99192,0.76532,0.88418,0.58126,1.04333,0.00096561,0.00096561,0.00096561
87,242.182,0.84216,0.59271,1.05018,0.99382,0.95833,0.99192,0.76828,0.86635,0.59695,1.04271,0.000957358,0.000957358,0.000957358
88,244.827,0.87582,0.62207,1.05304,0.99047,0.95833,0.99192,0.73715,0.89945,0.60346,1.0461,0.000949106,0.000949106,0.000949106
89,247.314,0.78696,0.57746,0.98927,0.98994,0.95833,0.98929,0.74187,0.9439,0.60045,1.0958,0.000940855,0.000940855,0.000940855
90,249.935,0.8369,0.58355,1.05086,0.9951,0.95833,0.987,0.75849,0.89183,0.57132,1.09269,0.000932603,0.000932603,0.000932603
